time,sea_water_practical_salinity_ctd,sea_water_practical_salinity_ctd_qc_agg,z
UTC,1e-3,,m
2021-07-12T12:26:12Z,33.5124,1,0.0
2021-07-12T12:30:12Z,33.5121,1,0.0
2021-07-12T12:34:12Z,33.5122,1,0.0
2021-07-12T12:38:12Z,33.5124,1,0.0
2021-07-12T12:42:12Z,33.5129,1,0.0
2021-07-12T12:46:12Z,33.513,1,0.0
2021-07-12T12:50:12Z,33.5133,1,0.0
2021-07-12T12:54:12Z,33.5135,1,0.0
2021-07-12T12:58:12Z,33.5132,1,0.0
2021-07-12T13:02:12Z,33.5132,1,0.0
2021-07-12T13:06:12Z,33.5134,1,0.0
2021-07-12T13:10:12Z,33.5127,1,0.0
2021-07-12T13:14:12Z,33.5127,1,0.0
2021-07-12T13:18:12Z,33.5128,1,0.0
2021-07-12T13:22:12Z,33.5127,1,0.0
2021-07-12T13:26:12Z,33.5127,1,0.0
2021-07-12T13:30:12Z,33.513,1,0.0
2021-07-12T13:34:12Z,33.5133,1,0.0
2021-07-12T13:38:12Z,33.5129,1,0.0
2021-07-12T13:42:12Z,33.5126,1,0.0
2021-07-12T13:46:12Z,33.5125,1,0.0
2021-07-12T13:50:12Z,33.5122,1,0.0
2021-07-12T13:54:12Z,33.5117,1,0.0
2021-07-12T13:58:12Z,33.5123,1,0.0
2021-07-12T14:02:12Z,33.5123,1,0.0
2021-07-12T14:06:12Z,33.5117,1,0.0
2021-07-12T14:10:12Z,33.5112,1,0.0
2021-07-12T14:14:12Z,33.5107,1,0.0
2021-07-12T14:18:12Z,33.5112,1,0.0
2021-07-12T14:22:12Z,33.5115,1,0.0
2021-07-12T14:26:12Z,33.5116,1,0.0
2021-07-12T14:30:12Z,33.512,1,0.0
2021-07-12T14:34:12Z,33.5118,1,0.0
2021-07-12T14:38:12Z,33.5121,1,0.0
2021-07-12T14:42:12Z,33.5111,1,0.0
2021-07-12T14:46:12Z,33.5115,1,0.0
2021-07-12T14:50:12Z,33.5107,1,0.0
2021-07-12T14:54:12Z,33.5101,1,0.0
2021-07-12T14:58:12Z,33.5103,1,0.0
2021-07-12T15:02:12Z,33.51,1,0.0
2021-07-12T15:06:12Z,33.5094,1,0.0
2021-07-12T15:10:12Z,33.5088,1,0.0
2021-07-12T15:14:12Z,33.5084,1,0.0
2021-07-12T15:18:12Z,33.5084,1,0.0
2021-07-12T15:22:12Z,33.5089,1,0.0
2021-07-12T15:26:12Z,33.5098,1,0.0
2021-07-12T15:30:12Z,33.5099,1,0.0
2021-07-12T15:34:12Z,33.5101,1,0.0
2021-07-12T15:38:12Z,33.5098,1,0.0
2021-07-12T15:42:12Z,33.5097,1,0.0
2021-07-12T15:46:12Z,33.51,1,0.0
2021-07-12T15:50:12Z,33.5103,1,0.0
2021-07-12T15:54:12Z,33.5104,1,0.0
2021-07-12T15:58:12Z,33.5106,1,0.0
2021-07-12T16:02:12Z,33.5104,1,0.0
2021-07-12T16:06:12Z,33.51,1,0.0
2021-07-12T16:10:12Z,33.5091,1,0.0
2021-07-12T16:14:12Z,33.5099,1,0.0
2021-07-12T16:18:12Z,33.51,1,0.0
2021-07-12T16:22:12Z,33.5103,1,0.0
2021-07-12T16:26:12Z,33.5098,1,0.0
2021-07-12T16:30:12Z,33.5087,1,0.0
2021-07-12T16:34:12Z,33.5102,1,0.0
2021-07-12T16:38:12Z,33.5095,1,0.0
2021-07-12T16:42:12Z,33.5045,1,0.0
2021-07-12T16:46:12Z,33.508,1,0.0
2021-07-12T16:50:12Z,33.5041,1,0.0
2021-07-12T16:54:12Z,33.4957,1,0.0
2021-07-12T16:58:12Z,33.4989,1,0.0
2021-07-12T17:02:12Z,33.5004,1,0.0
2021-07-12T17:06:12Z,33.4986,1,0.0
2021-07-12T17:10:12Z,33.4898,1,0.0
2021-07-12T17:14:12Z,33.4958,1,0.0
2021-07-12T17:18:12Z,33.5028,1,0.0
2021-07-12T17:22:12Z,33.5008,1,0.0
2021-07-12T17:26:12Z,33.4997,1,0.0
2021-07-12T17:30:12Z,33.5,1,0.0
2021-07-12T17:34:12Z,33.5051,1,0.0
2021-07-12T17:38:12Z,33.5048,1,0.0
2021-07-12T17:42:12Z,33.5031,1,0.0
2021-07-12T17:46:12Z,33.5016,1,0.0
2021-07-12T17:50:12Z,33.5038,1,0.0
2021-07-12T17:54:12Z,33.5047,1,0.0
2021-07-12T17:58:12Z,33.5061,1,0.0
2021-07-12T18:02:12Z,33.5062,1,0.0
2021-07-12T18:06:12Z,33.5061,1,0.0
2021-07-12T18:10:12Z,33.5047,1,0.0
2021-07-12T18:14:12Z,33.5046,1,0.0
2021-07-12T18:18:12Z,33.5061,1,0.0
2021-07-12T18:22:12Z,33.5061,1,0.0
2021-07-12T18:26:12Z,33.5055,1,0.0
2021-07-12T18:30:12Z,33.5055,1,0.0
2021-07-12T18:34:12Z,33.5046,1,0.0
2021-07-12T18:38:12Z,33.5051,1,0.0
2021-07-12T18:42:12Z,33.5054,1,0.0
2021-07-12T18:46:12Z,33.5056,1,0.0
