time,mass_concentration_of_chlorophyll_in_sea_water_ctd,mass_concentration_of_chlorophyll_in_sea_water_ctd_qc_agg,z
UTC,microg.L-1,,m
2021-10-17T01:22:12Z,NaN,2,0
2021-10-17T01:26:05Z,1.54,1,0
2021-10-17T01:26:12Z,NaN,2,0
2021-10-17T01:30:05Z,1.8,1,0
2021-10-17T01:30:12Z,NaN,2,0
2021-10-17T01:34:05Z,1.78,1,0
2021-10-17T01:34:12Z,NaN,2,0
2021-10-17T01:38:05Z,1.95,1,0
2021-10-17T01:38:12Z,NaN,2,0
2021-10-17T01:42:05Z,2.02,1,0
2021-10-17T01:42:12Z,NaN,2,0
2021-10-17T01:46:05Z,2.05,1,0
2021-10-17T01:46:12Z,NaN,2,0
2021-10-17T01:50:05Z,2.15,1,0
2021-10-17T01:50:12Z,NaN,2,0
2021-10-17T01:54:05Z,2.13,1,0
2021-10-17T01:54:12Z,NaN,2,0
2021-10-17T01:58:05Z,2.11,1,0
2021-10-17T01:58:12Z,NaN,2,0
2021-10-17T02:02:05Z,2.06,1,0
2021-10-17T02:02:12Z,NaN,2,0
2021-10-17T02:06:05Z,2.03,1,0
2021-10-17T02:06:12Z,NaN,2,0
2021-10-17T02:10:05Z,1.63,1,0
2021-10-17T02:10:12Z,NaN,2,0
2021-10-17T02:14:05Z,1.48,1,0
2021-10-17T02:14:12Z,NaN,2,0
2021-10-17T02:18:05Z,1.59,1,0
2021-10-17T02:18:12Z,NaN,2,0
2021-10-17T02:22:05Z,1.77,1,0
2021-10-17T02:22:12Z,NaN,2,0
2021-10-17T02:26:05Z,1.75,1,0
2021-10-17T02:26:12Z,NaN,2,0
2021-10-17T02:30:05Z,1.85,1,0
2021-10-17T02:30:12Z,NaN,2,0
2021-10-17T02:34:05Z,1.81,1,0
2021-10-17T02:34:12Z,NaN,2,0
2021-10-17T02:38:05Z,1.92,1,0
2021-10-17T02:38:12Z,NaN,2,0
2021-10-17T02:42:05Z,1.91,1,0
2021-10-17T02:42:12Z,NaN,2,0
2021-10-17T02:46:05Z,1.93,1,0
2021-10-17T02:46:12Z,NaN,2,0
2021-10-17T02:50:05Z,1.95,1,0
2021-10-17T02:50:12Z,NaN,2,0
2021-10-17T02:54:05Z,1.87,1,0
2021-10-17T02:54:12Z,NaN,2,0
2021-10-17T02:58:05Z,1.81,1,0
2021-10-17T02:58:12Z,NaN,2,0
2021-10-17T03:02:05Z,1.65,1,0
2021-10-17T03:02:12Z,NaN,2,0
2021-10-17T03:06:05Z,1.67,1,0
2021-10-17T03:06:12Z,NaN,2,0
2021-10-17T03:10:05Z,1.72,1,0
2021-10-17T03:10:12Z,NaN,2,0
2021-10-17T03:14:05Z,1.69,1,0
2021-10-17T03:14:12Z,NaN,2,0
2021-10-17T03:18:05Z,1.68,1,0
2021-10-17T03:18:12Z,NaN,2,0
2021-10-17T03:22:05Z,1.47,1,0
2021-10-17T03:22:12Z,NaN,2,0
2021-10-17T03:26:05Z,1.74,1,0
2021-10-17T03:26:12Z,NaN,2,0
2021-10-17T03:30:05Z,1.63,1,0
2021-10-17T03:30:12Z,NaN,2,0
2021-10-17T03:34:05Z,1.67,1,0
2021-10-17T03:34:12Z,NaN,2,0
2021-10-17T03:38:05Z,1.72,1,0
2021-10-17T03:38:12Z,NaN,2,0
2021-10-17T03:42:05Z,1.53,1,0
2021-10-17T03:42:12Z,NaN,2,0
2021-10-17T03:46:05Z,1.59,1,0
2021-10-17T03:46:12Z,NaN,2,0
2021-10-17T03:50:05Z,1.4,1,0
2021-10-17T03:50:12Z,NaN,2,0
2021-10-17T03:54:05Z,1.4,1,0
2021-10-17T03:54:12Z,NaN,2,0
2021-10-17T03:58:05Z,1.31,1,0
2021-10-17T03:58:12Z,NaN,2,0
2021-10-17T04:02:05Z,1.3,1,0
2021-10-17T04:02:12Z,NaN,2,0
2021-10-17T04:06:05Z,1.28,1,0
2021-10-17T04:06:12Z,NaN,2,0
2021-10-17T04:10:05Z,1.32,1,0
2021-10-17T04:10:12Z,NaN,2,0
2021-10-17T04:14:05Z,1.2,1,0
2021-10-17T04:14:12Z,NaN,2,0
2021-10-17T04:18:05Z,1.23,1,0
2021-10-17T04:18:12Z,NaN,2,0
2021-10-17T04:22:05Z,1.28,1,0
2021-10-17T04:22:12Z,NaN,2,0
2021-10-17T04:26:05Z,1.41,1,0
2021-10-17T04:26:12Z,NaN,2,0
2021-10-17T04:30:05Z,1.29,1,0
2021-10-17T04:30:12Z,NaN,2,0
2021-10-17T04:34:05Z,1.14,1,0
2021-10-17T04:34:12Z,NaN,2,0
2021-10-17T04:38:05Z,1.24,1,0
2021-10-17T04:38:12Z,NaN,2,0
2021-10-17T04:42:05Z,1.3,1,0
2021-10-17T04:42:12Z,NaN,2,0
2021-10-17T04:46:05Z,1.26,1,0
2021-10-17T04:46:12Z,NaN,2,0
2021-10-17T04:50:05Z,1.43,1,0
2021-10-17T04:50:12Z,NaN,2,0
2021-10-17T04:54:05Z,1.51,1,0
2021-10-17T04:54:12Z,NaN,2,0
2021-10-17T04:58:05Z,1.67,1,0
2021-10-17T04:58:12Z,NaN,2,0
2021-10-17T05:02:05Z,1.54,1,0
2021-10-17T05:02:12Z,NaN,2,0
2021-10-17T05:06:05Z,1.55,1,0
2021-10-17T05:06:12Z,NaN,2,0
2021-10-17T05:10:05Z,1.69,1,0
2021-10-17T05:10:12Z,NaN,2,0
2021-10-17T05:14:05Z,1.7,1,0
2021-10-17T05:14:12Z,NaN,2,0
2021-10-17T05:18:05Z,1.71,1,0
2021-10-17T05:18:12Z,NaN,2,0
2021-10-17T05:22:05Z,1.67,1,0
2021-10-17T05:22:12Z,NaN,2,0
2021-10-17T05:26:05Z,1.58,1,0
2021-10-17T05:26:12Z,NaN,2,0
2021-10-17T05:30:05Z,1.56,1,0
2021-10-17T05:30:12Z,NaN,2,0
2021-10-17T05:34:05Z,1.52,1,0
2021-10-17T05:34:12Z,NaN,2,0
2021-10-17T05:38:05Z,1.42,1,0
2021-10-17T05:38:12Z,NaN,2,0
2021-10-17T05:42:05Z,1.4,1,0
2021-10-17T05:42:12Z,NaN,2,0
2021-10-17T05:46:05Z,1.36,1,0
2021-10-17T05:46:12Z,NaN,2,0
2021-10-17T05:50:05Z,1.19,1,0
2021-10-17T05:50:12Z,NaN,2,0
2021-10-17T05:54:05Z,1.12,1,0
2021-10-17T05:54:12Z,NaN,2,0
2021-10-17T05:58:05Z,1.11,1,0
2021-10-17T05:58:12Z,NaN,2,0
2021-10-17T06:02:05Z,1.13,1,0
2021-10-17T06:02:12Z,NaN,2,0
2021-10-17T06:06:05Z,1.05,1,0
2021-10-17T06:06:12Z,NaN,2,0
2021-10-17T06:10:05Z,1.02,1,0
2021-10-17T06:10:12Z,NaN,2,0
2021-10-17T06:14:05Z,1.12,1,0
2021-10-17T06:14:12Z,NaN,2,0
2021-10-17T06:18:05Z,1.12,1,0
2021-10-17T06:18:12Z,NaN,2,0
2021-10-17T06:22:05Z,1.15,1,0
2021-10-17T06:22:12Z,NaN,2,0
2021-10-17T06:26:05Z,1.13,1,0
2021-10-17T06:26:12Z,NaN,2,0
2021-10-17T06:30:05Z,1.13,1,0
2021-10-17T06:30:12Z,NaN,2,0
2021-10-17T06:34:05Z,1.17,1,0
2021-10-17T06:34:12Z,NaN,2,0
2021-10-17T06:38:05Z,1.21,1,0
2021-10-17T06:38:12Z,NaN,2,0
2021-10-17T06:42:05Z,1.26,1,0
2021-10-17T06:42:12Z,NaN,2,0
2021-10-17T06:46:05Z,1.16,1,0
2021-10-17T06:46:12Z,NaN,2,0
2021-10-17T06:50:05Z,1.19,1,0
2021-10-17T06:50:12Z,NaN,2,0
2021-10-17T06:54:05Z,1.16,1,0
2021-10-17T06:54:12Z,NaN,2,0
2021-10-17T06:58:05Z,1.14,1,0
2021-10-17T06:58:12Z,NaN,2,0
2021-10-17T07:02:05Z,1.41,1,0
2021-10-17T07:02:12Z,NaN,2,0
2021-10-17T07:06:05Z,1.34,1,0
2021-10-17T07:06:12Z,NaN,2,0
2021-10-17T07:10:05Z,1.29,1,0
2021-10-17T07:10:12Z,NaN,2,0
2021-10-17T07:14:05Z,1.35,1,0
2021-10-17T07:14:12Z,NaN,2,0
2021-10-17T07:18:05Z,1.29,1,0
2021-10-17T07:18:12Z,NaN,2,0
2021-10-17T07:22:05Z,1.27,1,0
2021-10-17T07:22:12Z,NaN,2,0
2021-10-17T07:26:05Z,1.38,1,0
2021-10-17T07:26:12Z,NaN,2,0
2021-10-17T07:30:05Z,1.31,1,0
2021-10-17T07:30:12Z,NaN,2,0
2021-10-17T07:34:05Z,1.26,1,0
2021-10-17T07:34:12Z,NaN,2,0
2021-10-17T07:38:05Z,1.33,1,0
2021-10-17T07:38:12Z,NaN,2,0
2021-10-17T07:42:05Z,1.23,1,0
2021-10-17T07:42:12Z,NaN,2,0
2021-10-17T07:46:05Z,1.37,1,0
2021-10-17T07:46:12Z,NaN,2,0
2021-10-17T07:50:05Z,1.33,1,0
2021-10-17T07:50:12Z,NaN,2,0
2021-10-17T07:54:05Z,1.09,1,0
2021-10-17T07:54:12Z,NaN,2,0
2021-10-17T07:58:05Z,1.26,1,0
2021-10-17T07:58:12Z,NaN,2,0
2021-10-17T08:02:05Z,1.28,1,0
2021-10-17T08:02:12Z,NaN,2,0
2021-10-17T08:06:05Z,1.22,1,0
2021-10-17T08:06:12Z,NaN,2,0
2021-10-17T08:10:05Z,1.13,1,0
2021-10-17T08:10:12Z,NaN,2,0
2021-10-17T08:14:05Z,0.96,1,0
2021-10-17T08:14:12Z,NaN,2,0
2021-10-17T08:18:05Z,0.96,1,0
2021-10-17T08:18:12Z,NaN,2,0
2021-10-17T08:22:05Z,0.97,1,0
2021-10-17T08:22:12Z,NaN,2,0
2021-10-17T08:26:05Z,0.87,1,0
2021-10-17T08:26:12Z,NaN,2,0
2021-10-17T08:30:05Z,0.88,1,0
2021-10-17T08:30:12Z,NaN,2,0
2021-10-17T08:34:05Z,0.88,1,0
2021-10-17T08:34:12Z,NaN,2,0
2021-10-17T08:38:05Z,0.95,1,0
2021-10-17T08:38:12Z,NaN,2,0
2021-10-17T08:42:05Z,0.81,1,0
2021-10-17T08:42:12Z,NaN,2,0
2021-10-17T08:46:05Z,0.83,1,0
2021-10-17T08:46:12Z,NaN,2,0
2021-10-17T08:50:05Z,0.84,1,0
2021-10-17T08:50:12Z,NaN,2,0
2021-10-17T08:54:05Z,0.79,1,0
2021-10-17T08:54:12Z,NaN,2,0
2021-10-17T08:58:05Z,0.78,1,0
2021-10-17T08:58:12Z,NaN,2,0
2021-10-17T09:02:05Z,0.83,1,0
2021-10-17T09:02:12Z,NaN,2,0
2021-10-17T09:06:05Z,0.78,1,0
2021-10-17T09:06:12Z,NaN,2,0
2021-10-17T09:10:05Z,0.77,1,0
2021-10-17T09:10:12Z,NaN,2,0
2021-10-17T09:14:05Z,0.75,1,0
2021-10-17T09:14:12Z,NaN,2,0
2021-10-17T09:18:05Z,0.7,1,0
2021-10-17T09:18:12Z,NaN,2,0
2021-10-17T09:22:05Z,0.78,1,0
2021-10-17T09:22:12Z,NaN,2,0
2021-10-17T09:26:05Z,0.73,1,0
2021-10-17T09:26:12Z,NaN,2,0
2021-10-17T09:30:05Z,0.7,1,0
2021-10-17T09:30:12Z,NaN,2,0
2021-10-17T09:34:05Z,0.73,1,0
2021-10-17T09:34:12Z,NaN,2,0
2021-10-17T09:38:05Z,0.76,1,0
2021-10-17T09:38:12Z,NaN,2,0
2021-10-17T09:42:05Z,0.74,1,0
2021-10-17T09:42:12Z,NaN,2,0
2021-10-17T09:46:05Z,0.67,1,0
2021-10-17T09:46:12Z,NaN,2,0
2021-10-17T09:50:05Z,0.67,1,0
2021-10-17T09:50:12Z,NaN,2,0
2021-10-17T09:54:05Z,0.7,1,0
2021-10-17T09:54:12Z,NaN,2,0
2021-10-17T09:58:05Z,0.68,1,0
2021-10-17T09:58:12Z,NaN,2,0
2021-10-17T10:02:05Z,0.66,1,0
2021-10-17T10:02:12Z,NaN,2,0
2021-10-17T10:06:05Z,0.65,1,0
2021-10-17T10:06:12Z,NaN,2,0
2021-10-17T10:10:05Z,0.64,1,0
2021-10-17T10:10:12Z,NaN,2,0
2021-10-17T10:14:05Z,0.67,1,0
2021-10-17T10:14:12Z,NaN,2,0
2021-10-17T10:18:05Z,0.67,1,0
2021-10-17T10:18:12Z,NaN,2,0
2021-10-17T10:22:05Z,0.68,1,0
2021-10-17T10:22:12Z,NaN,2,0
2021-10-17T10:26:05Z,0.72,1,0
2021-10-17T10:26:12Z,NaN,2,0
2021-10-17T10:30:05Z,0.7,1,0
2021-10-17T10:30:12Z,NaN,2,0
2021-10-17T10:34:05Z,0.66,1,0
2021-10-17T10:34:12Z,NaN,2,0
2021-10-17T10:38:05Z,0.72,1,0
2021-10-17T10:38:12Z,NaN,2,0
2021-10-17T10:42:05Z,0.69,1,0
2021-10-17T10:42:12Z,NaN,2,0
2021-10-17T10:46:05Z,0.66,1,0
2021-10-17T10:46:12Z,NaN,2,0
2021-10-17T10:50:05Z,0.68,1,0
2021-10-17T10:50:12Z,NaN,2,0
2021-10-17T10:54:05Z,0.71,1,0
2021-10-17T10:54:12Z,NaN,2,0
2021-10-17T10:58:05Z,0.66,1,0
2021-10-17T10:58:12Z,NaN,2,0
2021-10-17T11:02:05Z,0.65,1,0
2021-10-17T11:02:12Z,NaN,2,0
2021-10-17T11:06:05Z,0.65,1,0
2021-10-17T11:06:12Z,NaN,2,0
2021-10-17T11:10:05Z,0.71,1,0
2021-10-17T11:10:12Z,NaN,2,0
2021-10-17T11:14:05Z,0.6,1,0
2021-10-17T11:14:12Z,NaN,2,0
2021-10-17T11:18:05Z,0.63,1,0
2021-10-17T11:18:12Z,NaN,2,0
2021-10-17T11:22:05Z,0.63,1,0
2021-10-17T11:22:12Z,NaN,2,0
2021-10-17T11:26:05Z,0.6,1,0
2021-10-17T11:26:12Z,NaN,2,0
2021-10-17T11:30:05Z,0.63,1,0
2021-10-17T11:30:12Z,NaN,2,0
2021-10-17T11:34:05Z,0.61,1,0
2021-10-17T11:34:12Z,NaN,2,0
2021-10-17T11:38:05Z,0.66,1,0
2021-10-17T11:38:12Z,NaN,2,0
2021-10-17T11:42:05Z,0.63,1,0
2021-10-17T11:42:12Z,NaN,2,0
2021-10-17T11:46:05Z,0.65,1,0
2021-10-17T11:46:12Z,NaN,2,0
2021-10-17T11:50:05Z,0.59,1,0
2021-10-17T11:50:12Z,NaN,2,0
2021-10-17T11:54:05Z,0.59,1,0
2021-10-17T11:54:12Z,NaN,2,0
2021-10-17T11:58:05Z,0.6,1,0
2021-10-17T11:58:12Z,NaN,2,0
2021-10-17T12:02:05Z,0.67,1,0
2021-10-17T12:02:12Z,NaN,2,0
2021-10-17T12:06:05Z,0.6,1,0
2021-10-17T12:06:12Z,NaN,2,0
2021-10-17T12:10:05Z,0.57,1,0
2021-10-17T12:10:12Z,NaN,2,0
2021-10-17T12:14:05Z,0.61,1,0
2021-10-17T12:14:12Z,NaN,2,0
2021-10-17T12:18:05Z,0.57,1,0
2021-10-17T12:18:12Z,NaN,2,0
2021-10-17T12:22:05Z,0.55,1,0
2021-10-17T12:22:12Z,NaN,2,0
2021-10-17T12:26:05Z,0.58,1,0
2021-10-17T12:26:12Z,NaN,2,0
2021-10-17T12:30:05Z,0.61,1,0
2021-10-17T12:30:12Z,NaN,2,0
2021-10-17T12:34:05Z,0.65,1,0
2021-10-17T12:34:12Z,NaN,2,0
2021-10-17T12:38:05Z,0.58,1,0
2021-10-17T12:38:12Z,NaN,2,0
2021-10-17T12:42:05Z,0.6,1,0
2021-10-17T12:42:12Z,NaN,2,0
2021-10-17T12:46:05Z,0.59,1,0
2021-10-17T12:46:12Z,NaN,2,0
2021-10-17T12:50:05Z,0.57,1,0
2021-10-17T12:50:12Z,NaN,2,0
2021-10-17T12:54:05Z,0.63,1,0
2021-10-17T12:54:12Z,NaN,2,0
2021-10-17T12:58:05Z,0.62,1,0
2021-10-17T12:58:12Z,NaN,2,0
2021-10-17T13:02:05Z,0.57,1,0
2021-10-17T13:02:12Z,NaN,2,0
2021-10-17T13:06:05Z,0.56,1,0
2021-10-17T13:06:12Z,NaN,2,0
2021-10-17T13:10:05Z,0.61,1,0
2021-10-17T13:10:12Z,NaN,2,0
2021-10-17T13:14:05Z,0.59,1,0
2021-10-17T13:14:12Z,NaN,2,0
2021-10-17T13:18:05Z,0.58,1,0
2021-10-17T13:18:12Z,NaN,2,0
2021-10-17T13:22:05Z,0.58,1,0
2021-10-17T13:22:12Z,NaN,2,0
2021-10-17T13:26:05Z,0.59,1,0
2021-10-17T13:26:12Z,NaN,2,0
2021-10-17T13:30:05Z,0.63,1,0
2021-10-17T13:30:12Z,NaN,2,0
2021-10-17T13:34:05Z,0.68,1,0
2021-10-17T13:34:12Z,NaN,2,0
2021-10-17T13:38:05Z,0.65,1,0
2021-10-17T13:38:12Z,NaN,2,0
2021-10-17T13:42:05Z,0.55,1,0
2021-10-17T13:42:12Z,NaN,2,0
2021-10-17T13:46:05Z,0.63,1,0
2021-10-17T13:46:12Z,NaN,2,0
2021-10-17T13:50:05Z,0.58,1,0
2021-10-17T13:50:12Z,NaN,2,0
2021-10-17T13:54:05Z,0.62,1,0
2021-10-17T13:54:12Z,NaN,2,0
2021-10-17T13:58:05Z,0.58,1,0
2021-10-17T13:58:12Z,NaN,2,0
2021-10-17T14:02:05Z,0.57,1,0
2021-10-17T14:02:12Z,NaN,2,0
2021-10-17T14:06:05Z,0.62,1,0
2021-10-17T14:06:12Z,NaN,2,0
2021-10-17T14:10:05Z,0.68,1,0
2021-10-17T14:10:12Z,NaN,2,0
2021-10-17T14:14:05Z,0.66,1,0
2021-10-17T14:14:12Z,NaN,2,0
2021-10-17T14:18:05Z,0.7,1,0
2021-10-17T14:18:12Z,NaN,2,0
2021-10-17T14:22:05Z,0.64,1,0
2021-10-17T14:22:12Z,NaN,2,0
2021-10-17T14:26:05Z,0.64,1,0
2021-10-17T14:26:12Z,NaN,2,0
2021-10-17T14:30:05Z,0.64,1,0
2021-10-17T14:30:12Z,NaN,2,0
2021-10-17T14:34:05Z,0.68,1,0
2021-10-17T14:34:12Z,NaN,2,0
2021-10-17T14:38:05Z,0.6,1,0
2021-10-17T14:38:12Z,NaN,2,0
2021-10-17T14:42:05Z,0.54,1,0
2021-10-17T14:42:12Z,NaN,2,0
2021-10-17T14:46:05Z,0.59,1,0
2021-10-17T14:46:12Z,NaN,2,0
2021-10-17T14:50:05Z,0.61,1,0
2021-10-17T14:50:12Z,NaN,2,0
2021-10-17T14:54:05Z,0.67,1,0
2021-10-17T14:54:12Z,NaN,2,0
2021-10-17T14:58:05Z,0.58,1,0
2021-10-17T14:58:12Z,NaN,2,0
2021-10-17T15:02:05Z,0.59,1,0
2021-10-17T15:02:12Z,NaN,2,0
2021-10-17T15:06:05Z,0.6,1,0
2021-10-17T15:06:12Z,NaN,2,0
2021-10-17T15:10:05Z,0.61,1,0
2021-10-17T15:10:12Z,NaN,2,0
2021-10-17T15:14:05Z,0.63,1,0
2021-10-17T15:14:12Z,NaN,2,0
2021-10-17T15:18:05Z,0.59,1,0
2021-10-17T15:18:12Z,NaN,2,0
2021-10-17T15:22:05Z,0.63,1,0
2021-10-17T15:22:12Z,NaN,2,0
2021-10-17T15:26:05Z,0.54,1,0
2021-10-17T15:26:12Z,NaN,2,0
2021-10-17T15:30:05Z,0.58,1,0
2021-10-17T15:30:12Z,NaN,2,0
2021-10-17T15:34:05Z,0.6,1,0
2021-10-17T15:34:12Z,NaN,2,0
2021-10-17T15:38:05Z,0.58,1,0
2021-10-17T15:38:12Z,NaN,2,0
2021-10-17T15:42:05Z,0.57,1,0
2021-10-17T15:42:12Z,NaN,2,0
2021-10-17T15:46:05Z,0.62,1,0
2021-10-17T15:46:12Z,NaN,2,0
2021-10-17T15:50:05Z,0.61,1,0
2021-10-17T15:50:12Z,NaN,2,0
2021-10-17T15:54:05Z,0.59,1,0
2021-10-17T15:54:12Z,NaN,2,0
2021-10-17T15:58:05Z,0.61,1,0
2021-10-17T15:58:12Z,NaN,2,0
2021-10-17T16:02:05Z,0.62,1,0
2021-10-17T16:02:12Z,NaN,2,0
2021-10-17T16:06:05Z,0.58,1,0
2021-10-17T16:06:12Z,NaN,2,0
2021-10-17T16:10:05Z,0.62,1,0
2021-10-17T16:10:12Z,NaN,2,0
2021-10-17T16:14:05Z,0.65,1,0
2021-10-17T16:14:12Z,NaN,2,0
2021-10-17T16:18:05Z,0.61,1,0
2021-10-17T16:18:12Z,NaN,2,0
2021-10-17T16:22:05Z,0.58,1,0
2021-10-17T16:22:12Z,NaN,2,0
2021-10-17T16:26:05Z,0.6,1,0
2021-10-17T16:26:12Z,NaN,2,0
2021-10-17T16:30:05Z,0.64,1,0
2021-10-17T16:30:12Z,NaN,2,0
2021-10-17T16:34:05Z,0.62,1,0
2021-10-17T16:34:12Z,NaN,2,0
2021-10-17T16:38:05Z,0.62,1,0
2021-10-17T16:38:12Z,NaN,2,0
2021-10-17T16:42:05Z,0.61,1,0
2021-10-17T16:42:12Z,NaN,2,0
2021-10-17T16:46:05Z,0.59,1,0
2021-10-17T16:46:12Z,NaN,2,0
2021-10-17T16:50:05Z,0.66,1,0
2021-10-17T16:50:12Z,NaN,2,0
2021-10-17T16:54:05Z,0.71,1,0
2021-10-17T16:54:12Z,NaN,2,0
2021-10-17T16:58:05Z,0.71,1,0
2021-10-17T16:58:12Z,NaN,2,0
2021-10-17T17:02:05Z,0.68,1,0
2021-10-17T17:02:12Z,NaN,2,0
2021-10-17T17:06:05Z,0.7,1,0
2021-10-17T17:06:12Z,NaN,2,0
2021-10-17T17:10:05Z,0.7,1,0
2021-10-17T17:10:12Z,NaN,2,0
2021-10-17T17:14:05Z,0.64,1,0
2021-10-17T17:14:12Z,NaN,2,0
2021-10-17T17:18:05Z,0.7,1,0
2021-10-17T17:18:12Z,NaN,2,0
2021-10-17T17:22:05Z,0.74,1,0
2021-10-17T17:22:12Z,NaN,2,0
2021-10-17T17:26:05Z,0.64,1,0
2021-10-17T17:26:12Z,NaN,2,0
2021-10-17T17:30:05Z,0.66,1,0
2021-10-17T17:30:12Z,NaN,2,0
2021-10-17T17:34:05Z,0.61,1,0
2021-10-17T17:34:12Z,NaN,2,0
2021-10-17T17:38:05Z,0.57,1,0
2021-10-17T17:38:12Z,NaN,2,0
2021-10-17T17:42:05Z,0.56,1,0
2021-10-17T17:42:12Z,NaN,2,0
2021-10-17T17:46:05Z,0.53,1,0
2021-10-17T17:46:12Z,NaN,2,0
2021-10-17T17:50:05Z,0.51,1,0
2021-10-17T17:50:12Z,NaN,2,0
2021-10-17T17:54:05Z,0.5,1,0
2021-10-17T17:54:12Z,NaN,2,0
2021-10-17T17:58:05Z,0.5,1,0
2021-10-17T17:58:12Z,NaN,2,0
2021-10-17T18:02:05Z,0.42,1,0
2021-10-17T18:02:12Z,NaN,2,0
2021-10-17T18:06:05Z,0.47,1,0
2021-10-17T18:06:12Z,NaN,2,0
2021-10-17T18:10:05Z,0.45,1,0
2021-10-17T18:10:12Z,NaN,2,0
2021-10-17T18:14:05Z,0.39,1,0
2021-10-17T18:14:12Z,NaN,2,0
2021-10-17T18:18:05Z,0.38,1,0
2021-10-17T18:18:12Z,NaN,2,0
2021-10-17T18:22:05Z,0.38,1,0
2021-10-17T18:22:12Z,NaN,2,0
2021-10-17T18:26:05Z,0.34,1,0
2021-10-17T18:26:12Z,NaN,2,0
2021-10-17T18:30:05Z,0.38,1,0
2021-10-17T18:30:12Z,NaN,2,0
2021-10-17T18:34:05Z,0.35,1,0
2021-10-17T18:34:12Z,NaN,2,0
2021-10-17T18:38:05Z,0.32,1,0
2021-10-17T18:38:12Z,NaN,2,0
2021-10-17T18:42:05Z,0.3,1,0
2021-10-17T18:42:12Z,NaN,2,0
2021-10-17T18:46:05Z,0.28,1,0
2021-10-17T18:46:12Z,NaN,2,0
2021-10-17T18:50:05Z,0.28,1,0
2021-10-17T18:50:12Z,NaN,2,0
2021-10-17T18:54:05Z,0.29,1,0
2021-10-17T18:54:12Z,NaN,2,0
2021-10-17T18:58:05Z,0.34,1,0
2021-10-17T18:58:12Z,NaN,2,0
2021-10-17T19:02:05Z,0.38,1,0
2021-10-17T19:02:12Z,NaN,2,0
2021-10-17T19:06:05Z,0.36,1,0
2021-10-17T19:06:12Z,NaN,2,0
2021-10-17T19:10:05Z,0.39,1,0
2021-10-17T19:10:12Z,NaN,2,0
2021-10-17T19:14:05Z,0.38,1,0
2021-10-17T19:14:12Z,NaN,2,0
2021-10-17T19:18:05Z,0.38,1,0
2021-10-17T19:18:12Z,NaN,2,0
2021-10-17T19:22:05Z,0.42,1,0
2021-10-17T19:22:12Z,NaN,2,0
2021-10-17T19:26:05Z,0.4,1,0
2021-10-17T19:26:12Z,NaN,2,0
2021-10-17T19:30:05Z,0.39,1,0
2021-10-17T19:30:12Z,NaN,2,0
2021-10-17T19:34:05Z,0.4,1,0
2021-10-17T19:34:12Z,NaN,2,0
2021-10-17T19:38:05Z,0.36,1,0
2021-10-17T19:38:12Z,NaN,2,0
2021-10-17T19:42:05Z,0.36,1,0
2021-10-17T19:42:12Z,NaN,2,0
2021-10-17T19:46:05Z,0.39,1,0
2021-10-17T19:46:12Z,NaN,2,0
2021-10-17T19:50:05Z,0.33,1,0
2021-10-17T19:50:12Z,NaN,2,0
2021-10-17T19:54:05Z,0.33,1,0
2021-10-17T19:54:12Z,NaN,2,0
2021-10-17T19:58:05Z,0.34,1,0
2021-10-17T19:58:12Z,NaN,2,0
2021-10-17T20:02:05Z,0.3,1,0
2021-10-17T20:02:12Z,NaN,2,0
2021-10-17T20:06:05Z,0.3,1,0
2021-10-17T20:06:12Z,NaN,2,0
2021-10-17T20:10:05Z,0.38,1,0
2021-10-17T20:10:12Z,NaN,2,0
2021-10-17T20:14:05Z,0.33,1,0
2021-10-17T20:14:12Z,NaN,2,0
2021-10-17T20:18:05Z,0.35,1,0
2021-10-17T20:18:12Z,NaN,2,0
2021-10-17T20:22:05Z,0.36,1,0
2021-10-17T20:22:12Z,NaN,2,0
2021-10-17T20:26:05Z,0.35,1,0
2021-10-17T20:26:12Z,NaN,2,0
2021-10-17T20:30:05Z,0.33,1,0
2021-10-17T20:30:12Z,NaN,2,0
2021-10-17T20:34:05Z,0.41,1,0
2021-10-17T20:34:12Z,NaN,2,0
2021-10-17T20:38:05Z,0.33,1,0
2021-10-17T20:38:12Z,NaN,2,0
2021-10-17T20:42:05Z,0.34,1,0
2021-10-17T20:42:12Z,NaN,2,0
2021-10-17T20:46:05Z,0.38,1,0
2021-10-17T20:46:12Z,NaN,2,0
2021-10-17T20:50:05Z,0.38,1,0
2021-10-17T20:50:12Z,NaN,2,0
2021-10-17T20:54:05Z,0.33,1,0
2021-10-17T20:54:12Z,NaN,2,0
2021-10-17T20:58:05Z,0.34,1,0
2021-10-17T20:58:12Z,NaN,2,0
2021-10-17T21:02:05Z,0.31,1,0
2021-10-17T21:02:12Z,NaN,2,0
2021-10-17T21:06:05Z,0.35,1,0
2021-10-17T21:06:12Z,NaN,2,0
2021-10-17T21:10:05Z,0.31,1,0
2021-10-17T21:10:12Z,NaN,2,0
2021-10-17T21:14:05Z,0.4,1,0
2021-10-17T21:14:12Z,NaN,2,0
2021-10-17T21:18:05Z,0.4,1,0
2021-10-17T21:18:12Z,NaN,2,0
2021-10-17T21:22:05Z,0.36,1,0
2021-10-17T21:22:12Z,NaN,2,0
2021-10-17T21:26:05Z,0.33,1,0
2021-10-17T21:26:12Z,NaN,2,0
2021-10-17T21:30:05Z,0.39,1,0
2021-10-17T21:30:12Z,NaN,2,0
