time,mass_concentration_of_chlorophyll_in_sea_water_ctd,mass_concentration_of_chlorophyll_in_sea_water_ctd_qc_agg,z
UTC,microg.L-1,,m
2021-09-16T18:06:25Z,3.11,1,0
2021-09-16T18:10:12Z,NaN,2,0
2021-09-16T18:10:25Z,3.08,1,0
2021-09-16T18:14:12Z,NaN,2,0
2021-09-16T18:14:25Z,3.08,1,0
2021-09-16T18:18:12Z,NaN,2,0
2021-09-16T18:18:25Z,3.1,1,0
2021-09-16T18:22:12Z,NaN,2,0
2021-09-16T18:22:25Z,3.09,1,0
2021-09-16T18:26:12Z,NaN,2,0
2021-09-16T18:26:25Z,3.13,1,0
2021-09-16T18:30:12Z,NaN,2,0
2021-09-16T18:30:25Z,3.1,1,0
2021-09-16T18:34:12Z,NaN,2,0
2021-09-16T18:34:25Z,3.16,1,0
2021-09-16T18:38:12Z,NaN,2,0
2021-09-16T18:38:25Z,3.19,1,0
2021-09-16T18:42:12Z,NaN,2,0
2021-09-16T18:42:25Z,3.2,1,0
2021-09-16T18:46:12Z,NaN,2,0
2021-09-16T18:46:25Z,3.21,1,0
2021-09-16T18:50:12Z,NaN,2,0
2021-09-16T18:50:25Z,3.27,1,0
2021-09-16T18:54:12Z,NaN,2,0
2021-09-16T18:54:25Z,3.25,1,0
2021-09-16T18:58:12Z,NaN,2,0
2021-09-16T18:58:25Z,3.19,1,0
2021-09-16T19:02:12Z,NaN,2,0
2021-09-16T19:02:25Z,3.23,1,0
2021-09-16T19:06:12Z,NaN,2,0
2021-09-16T19:06:25Z,3.19,1,0
2021-09-16T19:10:12Z,NaN,2,0
2021-09-16T19:10:25Z,3.21,1,0
2021-09-16T19:14:12Z,NaN,2,0
2021-09-16T19:14:25Z,3.24,1,0
2021-09-16T19:18:12Z,NaN,2,0
2021-09-16T19:18:25Z,3.18,1,0
2021-09-16T19:22:12Z,NaN,2,0
2021-09-16T19:22:25Z,3.14,1,0
2021-09-16T19:26:12Z,NaN,2,0
2021-09-16T19:26:25Z,3.2,1,0
2021-09-16T19:30:12Z,NaN,2,0
2021-09-16T19:30:25Z,3.17,1,0
2021-09-16T19:34:12Z,NaN,2,0
2021-09-16T19:34:25Z,3.17,1,0
2021-09-16T19:38:12Z,NaN,2,0
2021-09-16T19:38:25Z,3.13,1,0
2021-09-16T19:42:12Z,NaN,2,0
2021-09-16T19:42:25Z,3.16,1,0
